model_name,spaces_count,spaces
microsoft/resnet-50,96,"Nuno-Tome/simple_image_classifier|hysts/space-that-creates-model-demo-space|Ramos-Ramos/visual-emb-gam-probing|taquynhnga/CNNs-interpretation-visualization|Khaled27/Naptah|juliensimon/battle_of_image_classifiers|Omnibus/AI-or-Not|davanstrien/arch_demo|mixcard/image-2-details|jeffhaines/rice-disease-identifier|akhaliq/space-that-creates-model-demo-space|realambuj/Image_Classifier_using_RESNET50|peteralexandercharles/space-that-creates-model-demo-space|rbarman/resnet50-example|lianglv/microsoft-resnet-50|ludusc/latent-space-theories|jonanfu/demo_clase_platzi|CodeTed/Body_Index_Predictor|Charles95/gradio-tasks|Waranchari/Image_Classification|ADOPLE/Image_Classification|zergswim/test|kasidith/classification|saimandava/microsoft-resnet-50|Latyrine/microsoft-resnet-50|Skakade/microsoft-resnet-50|zhongzzz/zzq|glrh11/image-classification|ntayal/healthy-infected-plant|BubuDavid/image-classification|mahakgupta1/microsoft-resnet-50|hg2001/microsoft-resnet-50-demo2|awacke1/Image-Classifier-microsoft-resnet-50|SivaResearch/Opensource_imageClassifer_combo|risekid/imageProcess|kisn/microsoft-resnet-50|takeabilfive/microsoft-resnet-50|MokkaAbhishek/microsoft-resnet-50|Nirvana-Real/microsoft-resnet-50|EinfachOlder/space-that-creates-model-demo-space|degaya/microsoft-resnet-50|smerdov/microsoft-resnet-50|tellview/microsoft-resnet-50|greenrain0012/microsoft-resnet-50|hamlegs/IntelliStyle|ARUZ/microsoft-resnet-50|UNIQ-DEV/Image-Classification-Benchmark|ABITOS/microsoft-resnet-50|PlayForLose/Final_Project|surya696030/microsoft-resnet-50|zh5259/microsoft-resnet-50|n1thun/microsoft-resnet-50|threeidots/VTHacksAPP|greenarcade/microsoft-resnet-50|eliasb/microsoft-resnet-50|ganeshkamath89/gradio-huggingface-pipeline-tasks-demo-all|Nymbo/simple_image_classifier|CarolFei/project_dog_emotion_recomandation|Omnibus/AI-or-Not-dev|Saad0KH/body_predictor|karoladelk/microsoft-resnet-50|TheKitten/space-that-creates-model-demo-space|vkthakur88/microsoft-resnet-50|engajify/object_video|Hasani/Object-Detection-Video|kaust-generative-ai/diabetic-retinopathy|DevBM/image-classification|lucy1118/storytelling-backup|Dannel/gender|comqositi/microsoft-resnet-50|madhupiot/microsoft-resnet-50|revanthreddy09/microsoft-resnet-50|yougandar/handwrittendigit|shadownada/uff|rafaelduarte877/Youtube-Video-Slimiarity-Calculator|Pablinho/microsoft-resnet-50|Feng2024FACE/microsoft-resnet-50|cmckinle/AI-or-Not|a7madmostafa/img-classification|ake178178/beyoureyes|dharaneeshgunturu/microsoft-resnet-50|Tanusree88/ViT-MRI-FineTuning|chaitanya1/colored-ascii-art-generator|Tanusree88/Segmentation_and_classification|rararara9999/facemask_detection|rararara9999/app|rararara9999/SentimentAnalysis|rararara9999/pretrainedmodel|yerang/LivePortrait2|Divya1287/microsoft-resnet-50|mazarbaloch/object-classification|AndrewTTiplady/microsoft-resnet-50|hacendado/food-classifier-demo|milind2thakur/microsoft-resnet-50|rogerkoranteng/Mental-Sage|angelo9830/t3"
timm/resnet50.a1_in1k,13,"Nuno-Tome/simple_image_classifier|PeepDaSlan9/timm-resnet50.a1_in1k|mixcard/image-2-captionmax|PhelpsGG/timm-resnet50.a1_in1k|yesheytenzin/timm-resnet50.a1_in1k|Dannel/gender|ixos/timm-resnet50.a1_in1k|shadownada/uff|MagicMeWizard/timm-resnet50.a1_in1k|MagicMeWizard/image-classification|ThomasB5678/timm-resnet50.a1_in1k|pedrosubei/timm-resnet50.a1_in1k|lezi/timm-resnet50.a1_in1k"
WinKawaks/vit-tiny-patch16-224,1,"DevBM/image-classification"
google/vit-base-patch16-224,100,"Yntec/ToyWorld|Yntec/HuggingfaceDiffusion|M2UGen/M2UGen-Demo|Yntec/PrintingPress|Nymbo/Compare-6|llamameta/flux-pro-uncensored|Yntec/ToyWorldXL|llamameta/fluxproV2|Yntec/blitz_diffusion|phenixrhyder/NSFW-ToyWorld|John6666/Diffusion80XX4sg|team-indain-image-caption/Hindi-image-captioning|Nuno-Tome/simple_image_classifier|abidlabs/vision-transformer|DemiPoto/TestDifs|autonomous019/image_story_generator|John6666/PrintingPress4|DemiPoto/testSortModels|Yntec/october-2024-image-models|Yntec/MiniPrintingPress|Yntec/StableDiffusion35Large-Image-Models-Test-November-2024|hysts/space-that-creates-model-demo-space|Ramos-Ramos/visual-emb-gam-probing|Chakshu123/sketch-colorization-with-hint|Nymbo/Diffusion80XX4sg|John6666/hfd_test_nostopbutton|abidlabs/image-classifier|st0bb3n/Cam2Speech|juliensimon/battle_of_image_classifiers|Chakshu123/image-colorization-with-hint|John6666/ToyWorld4|John6666/Diffusion80XX4g|K00B404/HuggingfaceDiffusion_custom|tonyassi/product-recommendation|llamameta/fast-sd3.5-large|j0hngou/vision-diffmask|ipvikas/ImageProcessing|HighCWu/anime-colorization-with-hint|ClassCat/ViT-ImageNet-Classification|Somnath3570/food_calories|John6666/Diffusion80XX4|John6666/blitz_diffusion4|mmeendez/cnn_transformer_explainability|nickmuchi/Plant-Health-Classifier|Saiteja/leaf-ViT-classifier|dreamdrop-art/000555111|awacke1/MusicChatGenWithMuGen|Nuno-Tome/bulk_image_classifier|LucyintheSky/sketch-to-dress|andreped/vit-explainer|Shiladitya123Mondal/Food-Nutrition-app|swdqwewfw/Calorie_Calculator|Npps/Food_Indentification_and_Nutrition_Info|Blane187/multi-diffusion|Yntec/MiniToyWorld|Yntec/MiniHuggingfaceDiffusion|bryantmedical/oral_cancer|yiw/text|ThankGod/image-classifier|autonomous019/Story_Generator_v2|IPN/demo_|webis-huggingface-workshop/omar_demo|vebie91/spaces-image-classification-demo|suresh-subramanian/bean-classification|akhaliq/space-that-creates-model-demo-space|paschalc/ImageRecognitionDemo|peteralexandercharles/space-that-creates-model-demo-space|awacke1/MultiplayerImageRecognition-Gradio|mushroomsolutions/Gallery|xxx1/VQA_CAP_GPT|Kluuking/google-vit-base|Megareyka/imageRecognition|samavi/openai-clip-vit-base-patch32|HaawkeNeural/google-vit-base-patch16-224|jordonpeter01/M2UGen-Super-30s|JCRios/demo_image_classification|mrolando/classify_images|sand-box/bulk_image_classifier_dev|VishnuVardhan8055/google-vit-base-patch16-224|roshithindia/image_classification|sharren/skin-classification|sharren/skin-classification-streamlit|roshithindia/text_calssification_model|seawolf2357/msVision_3|HaohuaLv/Scribble_Matching|jjuarez/Waste_classification_app|Abhithebob/My_first_gen_ai_project|upadhyaysuraj/food_detection_with_nutrient_identification|Prathamesh1420/Animal_Insight|Somnath3570/food_calories_calculation|Nikhil0449/Calorie_Calculator|sudhanshukjha/calories-calculator|ssaiyashasvini/foodcaloriecalculator|abdullahmubeen10/sparknlp-VIT-Image-Classification|John6666/blitz_diffusion_builtin|mostafa-atef21/Product-Keyword-Generator|kaleidoskop-hug/PrintingPress|abidlabs/Comparing-Vision-Transformers|MFahadAlam/Image-Classification|DhruvK0/ImageNet-ViT"
Falconsai/nsfw_image_detection,71,"yanze/PuLID-FLUX|DamarJati/FLUX.1-DEV-Canny|guardiancc/flux-advanced-explorer|Deddy/PuLid-FLX-GPU|sofianhw/PuLID-FLUX|Nuno-Tome/simple_image_classifier|JournalistsonHF/text-to-image-bias|fantaxy/flx-pulid|yasserrmd/MagicDoodles|qiuzhi2046/PuLID-FLUX|stazizov/XFluxSpace|Deadmon/FLUX.1-DEV-Canny|m-ric/PuLID-FLUX|5m4ck3r/nsfw_image_detection|khailoong24/Falconsai-nsfw_image_detection|evijit/text-to-image-bias|SunderAli17/ToonMage|openfree/ginid|JamesCookJr90/Falconsai-nsfw_image_detection|lucianosb/sinteticoXL-bias|piaoyu2011/flux-advanced-explorer|aesopnix/safelens|error466/Falconsai-nsfw_image_detection|OzoneAsai/Falconsai-nsfw_image_detection|OzoneAsai/gallaries|PlayForLose/Final_Project|viknsagit/Falconsai-nsfw_image_detection|Raungni0001/Falconsai-nsfw_image_detection|elontusk404/Falconsai-nsfw_image_detection|khailoong24/Falconsai-nsfw_image_detection-Streamlit|PhelpsGG/Falconsai-nsfw_image_detection|Nymbo/simple_image_classifier|KK44/Verify_Content|ruidanwang/not_suit_for_work|ruidanwang/Falconsai-nsfw_image_detection|Gaejoon/Falconsai-nsfw_image_detection|Uzunn/Falconsai-nsfw_image_detection|Dannel/gender|Shabbir-Anjum/image-to-text|Vieshieouaz/nsfw_image_detection|jtgsystems/Falconsai-nsfw_image_detection|sapbot/Falconsai-nsfw_image_detection|shadownada/uff|kksrnfkal/FLUX.1-DEV-Canny|gaur3009/FLUX.1-DEV-Canny|LearningnRunning/adult_image_detector|John6666/Xlabs-Gradio-error|VidhitMakvana1/Falconsai-nsfw_image_detection|moniazamla/PuLID-FLUXw|xogaurav/PuLID-FLUX|xogaurav/PuLID-FLUX-New|Rakoo04/PuLID-FLUX|lnyan/flux-dev-flax|MohamedTalaat91/2B-EG-FLUX|Shad0ws/PuLID-FLUX|MohamedTalaat91/2B-EG-FLUX-stores|huanhoang/PuLID-FLUX|MohamedTalaat91/2B-EG-FLUX-stores-video|adminx/PuLID-FLUX|WodeDadao/PuLID-FLUX|kevinppaulo/PuLID|AndrewTTiplady/Falconsai-nsfw_image_detection|1124yu/PuLID-FLUX_test|SethyYann98/Falconsai-nsfw_image_detection|zabis13/Falconsai-nsfw_image_detection|ItsMa8di/sentiment-analyze|Daposey15/nsfw_image_detection|Blood076/PuLID-FLUX_|sandeshk/Falconsai-nsfw_image_detection|Soljawritten/FLUX.1-DEV-Canny|MartsoBodziu1994/PuLID-FLUX"
timm/resnet18.a1_in1k,1,"jdwh08s/Autodoc-Lifter"
microsoft/beit-base-patch16-224-pt22k-ft22k,95,"microsoft/HuggingGPT|rowel/22k-image-classification|Nuno-Tome/simple_image_classifier|taesiri/HuggingGPT-Lite|mazpie/genrl|bwconrad/anime-character-classification|Wootang01/image_classifier|ccarr0807/HuggingGPT|theholycityweb/HuggingGPT|Alfasign/HuggingGPT-Lite|saurshaz/HuggingGPT|hvaldez/SViTT-Ego_Action_Recognition|Harshal21/examples|elifnurkarakoc/image-classification-test|pksh/guild|tsambo/Demo_Image_classifier|chrisW6825/HuggingGPT|Shenziqian/HuggingGPT|lokutus/HuggingGPT|mimiqiao/HuggingGPT|tsgbalakarthik/HuggingGPT|wowochkin/HuggingGPT|Msp/HuggingGPT|RayanRen/food_vision_101|LanLan/microsoft-beit-base-patch16-224-pt22k-ft22k|apgarmd/jarvis|apgarmd/jarvis2|ryan12439/HuggingGPTpub|turbowed/HuggingGPT|Chokyounghoon/HuggingGPT|mukulnag/HuggingGPT1|FANCHIYU/HuggingGPT|Betacuckgpt/HuggingGPT|cashqin/HuggingGPT|lollo21/Will-GPT|felixfriday/MICROSOFTT_JARVIS_HuggingGPT|Meffordh/HuggingGPT|Pfs2021Funny/HuggingGPT|lugifudun/HuggingGPT|irritablebro/HuggingGPT|leadmaister/HuggingGPT|pors/HuggingGPT|keaneu/HuggingGPT|MagKoz/HuggingGPT|lzqfree/HuggingGPT|zhangdream/HuggingGPT|bountyfuljr/HuggingGPTplaypublic|viscosity/HuggingGPT|calliber/HuggingGPT|Pitak/HuggingGPT|Mcdof/HuggingGPT|gaocegege/HuggingGPT|BMukhtar/BMA|mearjunsha/HuggingGPT|bluuuer/microsoft-beit-base-patch16-224-pt22k-ft22k|sonobit/models|jannnccs/models|gntn/models|mmiumius/models|Fuckinsuck/models|anascoteana/models|Somoooo/modals|vs4vijay/HuggingGPT|mastere00/JarvisMeetsProfessor|CollaalloC/HuggingGPT|NaamanSaif/HuggingGPT|dwolfe66/HuggingGPT|passthebutter/HuggingGPT|mckeeboards/HuggingGPT|FPRT/Image_Classifier|manu1435/HuggingGPT|xian-sheng/HuggingGPT|trhacknon/HuggingGPT|Aygtljl518866/HuggingGPT|Vito99/HuggingGPT-Lite|Zaara/team-impulse|EinfachOlder/HuggingGPT-Lite|Hemi1403/HuggingGPT|innovativeillusions/HuggingGPT|awacke1/Image-Classifier-microsoft-beit-base-patch16-224-pt22k-ft22k|Gameel/image_classification|dcams/HuggingGPT|ylavie/HuggingGPT3|ylavie/HuggingGPT-Lite|CCYAO/HuggingGPT|CosmoAI/CosmoS|cndavy/HuggingGPT|AsadullaH777/HuggingGPT|iimahdii/LemV3|hvaldez/SViTT-Ego_Multiple_Choice_Question|PhelpsGG/microsoft-beit-base-patch16-224-pt22k-ft22k|Nymbo/simple_image_classifier|ZackBradshaw/omni_bot|Dannel/gender|shadownada/uff"
AdamCodd/vit-base-nsfw-detector,4,"yeftakun/nsfw_detection|yeftakun/nsfw_api2|Saqib772/NFSW_Checker|dumbledoreAC/NSFWTester"
nateraw/vit-age-classifier,58,"Nuno-Tome/simple_image_classifier|Paresh/Facial-feature-detector|jervinjosh68/vit-age-classifier|dennisjooo/Age-and-Emotion-Classifier|Nuno-Tome/bulk_image_classifier|hg2001/age-classifier|sand-box/bulk_image_classifier_dev|Haoyou/nateraw-vit-age-classifier|AndyMage/kwg|PlayForLose/Final_Project|ridges/ageing|viniciusgregory/nateraw-vit-age-classifier|bit-guber/Face_Features_Extraction|DrBock/nateraw-vit-age-classifier|devadvocrg/Dennis-Age-Guesser-ViT|firesnaker/Dennis-Age-Guesser-ViT|hj-ben/vit-age-classification|tech-aloa/vit-age-classification|ahaljh/vit-age-classification|jieun/vit-age-classification|woomii/vit-age-classification|sopogen/test|jtkim918/vit-age-classification|Insuhand/edu|37minjung/vit-age-classification|Soojin7/vit-age-classification|Ghiffari4869/transfer-learning|Nymbo/simple_image_classifier|mookkanvas/image_classification|mookkanvas/Age_Classifier|mikecho/ISOM5240Group20_ImageAnalysis|ahmedemara10/nateraw-vit-age-classifier|seeffdsfsdfsd/nateraw-vit-age-classifier|yangswei/Age-Emotion-Classifier|swami123/nateraw-vit-age-classifier|skgreenstar/age_image|yonicho/age-class|jhoppanne/age_and_emotion_image_classification|Dannel/gender|djohns38/age|djohns38/nateraw-vit-age-classifier|shadownada/uff|justingrammens/mmm-faces|sajid1085/age-emotion-detection|ahaljh-lecture/vit-age-classification|kilsoo75/vit-age-classification|ahaljh-lecture/vit-age-classification2|ffChun/vit-age-classification|seunghy/vit-age-classificatioin2|onesixx/vit-age-classification|nestor007/vit-age-classification|ruzun88/vit-age-classification|seunghy/age-classification|Timmek/nateraw-vit-age-classifier|Darshank/age-classifier|tinypotato/nateraw-vit-age-classifier|EdBoy2202/ImagetoEmoji|EdBoy2202/ImageAttributeDetectionandImageGeneration"
WinKawaks/vit-small-patch16-224,0,""
